time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.004 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.004 0.05 0.0 0.0 0.0 0.0 0.05 0.0 0.0 0.0 0.05 
4.005 0.05 0.05 0.05 0.0 0.0 0.05 0.05 0.05 0.05 0.05 
5.006 0.1 0.1 0.15 0.0 0.05 0.05 0.05 0.1 0.05 0.1 
6.006 0.15 0.2 0.25 0.0 0.1 0.1 0.05 0.15 0.05 0.1 
7.007 0.3 0.45 0.35 0.3 0.25 0.2 0.35 0.25 0.2 0.2 
8.009 0.45 0.45 0.5 0.5 0.45 0.4 0.4 0.45 0.45 0.4 
9.01 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
10.011 0.7 0.6 0.55 0.55 0.55 0.5 0.55 0.6 0.55 0.5 
11.011 0.7 0.7 0.7 0.6 0.55 0.7 0.65 0.7 0.65 0.65 
12.011 0.85 0.85 0.8 0.8 0.75 0.75 0.85 0.85 0.75 0.8 
13.012 1.0 0.95 0.95 0.95 0.95 0.9 0.95 0.95 0.95 0.95 
14.013 1.0 0.95 0.95 0.95 0.95 1.0 0.95 1.0 0.95 0.95 
15.014 1.0 1.0 0.95 1.0 0.95 1.0 1.0 1.0 1.0 1.0 
16.015 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
17.017 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
18.017 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
